name,repository
rakismet,https://github.com/joshfrench/rakismet
lazy_high_charts,https://github.com/michelson/lazy_high_charts
rails-settings-cached,https://github.com/huacnlee/rails-settings-cached
shopify_api,https://github.com/Shopify/shopify_api
ruby-openid,https://github.com/openid/ruby-openid
ruby-oci8,https://github.com/kubo/ruby-oci8
rubyntlm,https://github.com/WinRb/rubyntlm
scrypt,https://github.com/pbhogan/scrypt
rails-deprecated_sanitizer,https://github.com/rails/rails-deprecated_sanitizer
bio,https://github.com/bioruby/bioruby
mini_portile,https://github.com/flavorjones/mini_portile
libnotify,https://github.com/splattael/libnotify
decent_exposure,https://github.com/hashrocket/decent_exposure
shoryuken,https://github.com/phstc/shoryuken
rails3-generators,https://github.com/indirect/rails3-generators
license_finder,https://github.com/pivotal/LicenseFinder
capistrano3-puma,https://github.com/seuros/capistrano-puma
textacular,https://github.com/textacular/textacular
omniauth-google-oauth2,https://github.com/zquestz/omniauth-google-oauth2
rubygems-tasks,https://github.com/postmodern/rubygems-tasks
opal,https://github.com/opal/opal
middleware,https://github.com/mitchellh/middleware
rack-oauth2,https://github.com/nov/rack-oauth2
rack-mini-profiler,https://github.com/MiniProfiler/rack-mini-profiler
middleman-sprockets,https://github.com/middleman/middleman-sprockets
tapp,https://github.com/esminc/tapp
populator,https://github.com/ryanb/populator
meta-tags,https://github.com/kpumuk/meta-tags
que,https://github.com/chanks/que
sensu-plugin,https://github.com/sensu-plugins/sensu-plugin
jquery-datatables-rails,https://github.com/rweng/jquery-datatables-rails
active_utils,https://github.com/Shopify/active_utils
gitlab,https://github.com/NARKOZ/gitlab
ocra,https://github.com/larsch/ocra
reverse_markdown,https://github.com/xijo/reverse_markdown
ember-rails,https://github.com/emberjs/ember-rails
bosh-template,https://github.com/cloudfoundry/bosh
gitlab-linguist,https://github.com/github/linguist
simple_uuid,https://github.com/cassandra-rb/simple_uuid
ember-auth-source,https://github.com/heartsentwined/ember-auth
actionpack-action_caching,https://github.com/rails/actionpack-action_caching
cequel,https://github.com/cequel/cequel
rails-timeago,https://github.com/jgraichen/rails-timeago
bond,https://gitlab.com/quarzoliquido/sortix
actionpack-page_caching,https://github.com/rails/actionpack-page_caching
chamber,https://github.com/thekompanee/chamber
os,https://github.com/rdp/os
minitest-spec-rails,https://github.com/metaskills/minitest-spec-rails
r10k,https://github.com/puppetlabs/r10k
jekyll-github-metadata,https://github.com/jekyll/github-metadata
google-analytics-rails,https://github.com/bgarret/google-analytics-rails
rails_serve_static_assets,https://github.com/heroku/rails_serve_static_assets
gollum,https://github.com/gollum/gollum
postgres-copy,https://github.com/diogob/postgres-copy
minitest-rg,https://github.com/blowmage/minitest-rg
administrate,https://github.com/thoughtbot/administrate
phonelib,https://github.com/daddyz/phonelib
rspec-retry,https://github.com/NoRedInk/rspec-retry
chef-vault,https://github.com/chef/chef-vault
railsless-deploy,https://github.com/jeffbyrnes/railsless-deploy
phony,https://github.com/floere/phony
adsf,https://github.com/ddfreyne/adsf
itamae,https://github.com/ryotarai/itamae
audited,https://github.com/collectiveidea/audited
minitest-rails-capybara,https://github.com/blowmage/minitest-rails-capybara
active-fedora,https://github.com/projecthydra/active_fedora
elasticsearch-transport,https://github.com/elastic/elasticsearch-ruby
acl9,https://github.com/be9/acl9
rails_layout,https://github.com/RailsApps/rails_layout
less-rails-bootstrap,https://github.com/metaskills/less-rails-bootstrap
validates_email_format_of,https://github.com/validates-email-format-of/validates_email_format_of
circleci,https://github.com/mtchavez/circleci
stylus,https://github.com/forgecrafted/ruby-stylus
barber,https://github.com/tchak/barber
validates_timeliness,https://github.com/adzap/validates_timeliness
octopress-hooks,https://github.com/octopress/hooks
stove,https://github.com/sethvargo/stove
inline_svg,https://github.com/jamesmartin/inline_svg
